PersonID,PersonName,SchoolID,SchoolName,SchoolCampus,DepartmentName,DepartmentID,BirthDate,StillWorking,JobID,JobTitle,Earnings,EarningsYear
1,Amber Solomon,NELK7SCK,University of Texas,Houston,Biology,DEPT5,01/30/1965,no,JOB5,Engineer,382627,2016
1,Amber Solomon,NELK7SCK,University of Texas,Houston,Biology,DEPT5,01/30/1965,no,JOB1,Professor,356188,2015
1,Amber Solomon,NELK7SCK,University of Texas,Houston,Biology,DEPT5,01/30/1965,no,JOB1,Professor,411771,2016
1,Amber Solomon,NELK7SCK,University of Texas,Houston,Biology,DEPT5,01/30/1965,no,JOB4,Coordinator,116934,2010
2,Valerie Harvey,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/28/1997,no,JOB2,Lecturer,363920,2013
2,Valerie Harvey,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/28/1997,no,JOB6,Researcher,379856,2021
2,Valerie Harvey,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/28/1997,no,JOB8,Analyst,441652,2012
2,Valerie Harvey,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/28/1997,no,JOB6,Researcher,231602,2018
3,Holly James,E3JDACPY,University of Florida,Miami,Computer Engineering,DEPT9,11/27/1975,no,JOB2,Lecturer,153628,2017
4,Katherine Luna,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,09/19/1991,no,JOB6,Researcher,255801,2016
4,Katherine Luna,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,09/19/1991,no,JOB2,Lecturer,141123,2016
4,Katherine Luna,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,09/19/1991,no,JOB3,Administrator,43718,2010
4,Katherine Luna,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,09/19/1991,no,JOB6,Researcher,352904,2014
5,Robert Moran,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,10/16/1968,no,JOB2,Lecturer,375436,2021
5,Robert Moran,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,10/16/1968,no,JOB8,Analyst,123590,2013
5,Robert Moran,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,10/16/1968,no,JOB3,Administrator,441249,2015
5,Robert Moran,E3JDACPY,University of Florida,Orlando,Computer Engineering,DEPT9,10/16/1968,no,JOB4,Coordinator,46049,2016
6,Steven White,NELK7SCK,University of Texas,Austin,Biology,DEPT5,04/11/1974,yes,JOB4,Coordinator,406105,2022
6,Steven White,NELK7SCK,University of Texas,Austin,Biology,DEPT5,04/11/1974,no,JOB8,Analyst,366078,2017
7,Ray Nelson,7R3NFGWK,University of California,Los Angeles,Computer Science,DEPT1,08/05/1968,no,JOB6,Researcher,260892,2020
8,Sai  Sampadaa Gomatham,KN0XV3NZ,University of Massachusetts,Dartmouth,Computer Science,DEPT1,11/15/1990,no,JOB4,Coordinator,85940,2021
8,Sai  Sampadaa Gomatham,KN0XV3NZ,University of Massachusetts,Dartmouth,Computer Science,DEPT1,11/15/1990,no,JOB8,Analyst,94287,2020
9,Thomas Williamson,7R3NFGWK,University of California,Davis,Computer Science,DEPT1,06/11/1990,no,JOB6,Researcher,399144,2010
10,Michael Ortiz,E3JDACPY,University of Florida,Miami,Computer Engineering,DEPT9,06/06/1968,no,JOB1,Professor,267289,2018
10,Michael Ortiz,E3JDACPY,University of Florida,Miami,Computer Engineering,DEPT9,06/06/1968,no,JOB2,Lecturer,99487,2020
10,Michael Ortiz,E3JDACPY,University of Florida,Miami,Computer Engineering,DEPT9,06/06/1968,no,JOB5,Engineer,221177,2012
10,Michael Ortiz,E3JDACPY,University of Florida,Miami,Computer Engineering,DEPT9,06/06/1968,no,JOB4,Coordinator,235902,2018
11,Susan Gallegos,NELK7SCK,University of Texas,Austin,Biology,DEPT5,04/17/1985,no,JOB1,Professor,69122,2022
12,Jacqueline Mayer,E2EGFYJD,University of Illinois,Springfield,Biology,DEPT5,05/24/1965,yes,JOB4,Coordinator,373752,2010
13,Chad Crawford,7R3NFGWK,University of California,Santa Barbara,Computer Science,DEPT1,02/14/1964,no,JOB4,Coordinator,184502,2019
14,Amber Hartman,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/09/1959,no,JOB2,Lecturer,183022,2011
14,Amber Hartman,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/09/1959,no,JOB8,Analyst,445419,2014
14,Amber Hartman,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/09/1959,no,JOB2,Lecturer,151449,2020
14,Amber Hartman,KN0XV3NZ,University of Massachusetts,Lowell,Computer Science,DEPT1,11/09/1959,no,JOB3,Administrator,96324,2014
